Code	Group	Fp_1i	∆vapH⁰_1i	∆vapH_1i	∆vapS_1i	δD_1i	δP_1i	δH_1i	δ_1i	ω_1i	Vm_1i
1	CH3	21.7458	2.2643	2.0701	-0.1822	7.5697	1.9996	2.2105	-2.1040	0.0077	0.0241
2	CH2	11.5194	4.7607	2.3353	0.6185	-0.0018	-0.1492	-0.2150	-0.1540	0.0047	0.0165
3	CH	-5.1205	5.0336	1.6963	0.2664	-7.7208	-2.7099	-2.6826	1.1153	0.0005	0.0086
4	C	-19.7535	5.1448	0.8251	0.0320	-15.4498	-4.7191	-6.4821	1.9577	-0.0069	0.0007
5	CH2=CH	32.1079	5.4644	4.1230	0.8081	7.6415	2.4926	2.7673	-2.6837	0.0098	0.0347
6	CH=CH	20.4241	8.1390	4.1052	1.7154	-0.0393	-0.1344	0.8631	-0.7619	0.0101	0.0269
7	CH2=C	11.6312	7.3334	3.3750	1.0404	-0.1038	0.0444	1.0623	-1.3323	0.0026	0.0264
8	CH=C	0.2590	8.7141	3.9363	0.8931	-6.9792	-1.2242	-0.1204	1.2028	0.0016	0.0161
9	C=C	-9.8452	10.7625	4.0746	1.3878	-14.4343	-6.5194	-2.9995	1.9713	-0.0112	0.0132
10	CH2=C=CH	****	11.3320	6.5314	1.4470	7.8035	2.4810	3.6733	-3.3243	0.0130	0.0428
11	CH2=C=C	****	****	****	****	-0.0395	-1.4993	0.0791	-1.5972	0.0054	0.0359
12	C=C=C	****	****	****	****	****	****	****	****	****	****
13	CH≡C	50.2118	6.6654	5.6796	3.4692	7.8142	3.1014	3.7484	-1.8143	0.0121	0.0263
14	C≡C	****	11.0141	7.8319	4.7793	-0.2242	-0.3012	1.9582	0.8547	0.0079	0.0153
15	aCH	17.6554	4.1504	2.6770	0.5379	3.1144	0.9945	0.7694	-0.2272	0.0041	0.0122
16	aC fused with aromatic ring	19.3539	6.4425	4.8655	2.7828	-2.5088	-2.3684	-2.7569	0.2066	0.0027	0.0066
17	aC fused with non-aromatic ring	3.1895	5.7028	3.3349	1.3254	-2.2634	-1.6748	-2.6898	-0.3397	0.0021	0.0060
18	aC except as above	17.8540	6.9303	****	****	-7.0934	-3.8082	-1.4992	-0.3453	0.0033	0.0079
19	aN in aromatic ring	43.4662	10.7328	6.7992	6.4441	3.3472	5.2498	3.9266	-0.4729	0.0037	0.0050
20	aC-CH3	30.8807	8.1461	4.4356	-0.3329	3.0551	-0.1775	0.1713	-0.7833	0.0094	0.0282
21	aC-CH2	23.3343	9.9269	2.8182	-2.0971	-5.3239	-3.5919	-3.1805	0.4007	0.0083	0.0214
22	aC-CH	6.4828	9.2823	****	****	-12.9139	-5.1314	-7.0890	1.0885	0.0005	0.0144
23	aC-C	4.5266	12.6547	4.6514	1.7047	-19.5489	-7.5530	-7.8370	2.7336	-0.0067	0.0080
24	aC-CH=CH2	48.4825	****	9.8956	6.4952	2.9119	-1.4985	1.0566	-1.0001	0.0129	0.0376
25	aC-CH=CH	48.1746	****	****	****	-4.5593	-3.1909	-3.6608	0.2022	0.0106	0.0287
26	aC-C=CH2	31.6544	****	****	****	****	****	****	-0.2763	0.0085	0.0301
27	aC-C≡CH	45.9443	****	****	****	3.2278	-2.1724	0.1531	-1.7236	0.0049	0.0336
28	aC-C≡C	****	****	****	****	-3.9509	****	-2.9946	-0.8352	0.0000	0.0413
29	OH	78.5878	24.1639	16.4887	19.4039	8.0236	4.9598	11.8005	2.4637	0.0502	0.0044
30	aC-OH	83.3745	37.9847	15.7442	13.4747	3.1695	2.2263	7.7635	1.9922	0.0313	0.0142
31	COOH	115.3016	20.4196	****	****	8.4676	3.5123	7.5917	3.1694	0.0553	0.0244
32	aC-COOH	148.9109	****	****	****	3.0454	1.6294	4.5546	1.6303	0.0566	0.0468
33	CH3CO	70.9382	15.1303	9.6190	2.6552	8.1630	6.0520	3.4394	-0.1581	0.0220	0.0345
34	CH2CO	67.4790	16.4955	10.1585	4.7828	0.5557	0.7632	-0.0788	0.5639	0.0204	0.0288
35	CHCO	****	12.4208	9.1433	4.4806	****	****	****	2.4461	0.0164	0.0235
36	CCO	****	13.7977	1.4869	-8.0628	-15.3821	****	****	1.6430	-0.0032	0.0247
37	aC-CO	61.1990	22.7719	****	****	-4.0748	0.7990	-0.8306	1.7323	0.0195	0.0187
38	CHO	62.3286	13.2496	9.3020	4.6854	7.7699	7.9891	5.3761	0.9642	0.0228	0.0169
39	aC-CHO	76.9443	****	****	****	3.7310	4.4838	2.3964	1.2492	0.0270	0.0162
40	CH3COO	73.7009	20.0986	13.0656	9.0305	8.0220	2.8480	5.0132	-0.6905	0.0295	0.0412
41	CH2COO	50.2088	20.8219	13.5635	9.6708	0.4586	1.4477	2.7824	1.1280	0.0284	0.0365
42	CHCOO	30.2375	21.7450	11.1043	6.7688	-7.3196	-1.8452	-1.1517	1.7246	0.0183	0.0291
43	CCOO	****	18.7725	9.0957	5.8422	-15.1450	-7.8478	-10.5735	****	0.0135	0.0246
44	HCOO	57.4720	15.7192	10.8115	8.9224	7.9333	5.1029	6.8448	-0.4475	0.0242	0.0259
45	aC-COO	45.3229	22.9419	15.6863	16.7877	-5.1676	0.5739	-0.5041	1.5495	0.0170	0.0287
46	aC-OOCH	****	****	****	****	****	****	****	****	****	****
47	aC-OOC	****	****	****	****	-3.7074	-1.3895	-0.0219	2.1020	0.0199	0.0249
48	COO except as above	53.3130	17.1781	11.2832	8.7093	0.2832	1.6464	2.6377	1.8624	0.0256	0.0199
49	CH3O	41.9635	7.8029	5.6432	1.9768	7.6577	3.0860	3.3464	-1.7006	0.0173	0.0283
50	CH2O	32.9140	8.5931	5.1006	2.7380	0.1978	0.6423	0.8246	-0.0286	0.0160	0.0228
51	CH-O	-8.9309	9.1274	4.3695	3.3277	-7.7099	-1.9180	-2.1543	0.5182	0.0026	0.0207
52	C-O	****	9.0063	3.5593	2.1936	****	****	****	2.7118	-0.0002	0.0099
53	aC-O	3.0689	13.9610	8.0941	5.4927	-4.5924	-0.5729	0.0149	1.9263	0.0154	0.0108
54	CH2NH2	63.0277	16.3428	10.6011	6.5612	8.1717	5.2964	6.7984	0.3765	0.0286	0.0281
55	CHNH2	20.3665	13.9985	8.1472	6.8940	-0.3287	0.6603	2.8953	-0.3947	0.0192	0.0207
56	CNH2	****	13.2358	9.4272	9.3683	****	****	****	0.3815	0.0085	0.0179
57	CH3NH	52.6666	13.9706	9.5323	7.2790	8.1301	3.4132	7.2551	-0.3527	0.0206	0.0282
58	CH2NH	38.5602	11.9165	7.2608	2.6173	0.2374	0.1072	1.4183	0.9615	0.0250	0.0260
59	CHNH	12.2191	10.9079	5.0019	2.2862	-7.7581	-3.5886	-2.2824	0.6915	0.0136	0.0209
60	CH3N	49.4137	13.6543	4.4346	2.8790	0.4260	-0.5166	2.4585	-0.5351	0.0113	0.0259
61	CH2N	-2.1262	7.4283	5.6474	4.9009	-6.6418	0.0847	-7.3014	-1.8019	0.0077	0.0187
62	aC-NH2	99.5136	23.9175	13.3649	7.4738	4.1237	2.8781	6.3616	1.8406	0.0254	0.0232
63	aC-NH	54.4905	16.7337	****	****	-3.7891	-2.5983	3.2590	0.5370	0.0200	0.0102
64	aC-N	31.8530	17.9388	****	****	****	****	****	1.1306	0.0084	0.0190
65	NH2 except as above	65.5706	17.5679	9.5708	8.1026	8.5025	5.5141	9.0778	3.7625	0.0206	0.0104
66	CH=N	****	****	****	****	****	****	****	****	****	****
67	C=N	****	****	****	****	-8.0972	-2.4853	-3.1673	-3.7310	****	****
68	CH2CN	87.3868	22.2337	15.6253	3.8719	8.6869	9.9443	3.3144	2.7451	0.0336	0.0309
69	CHCN	****	22.9889	12.8298	2.9701	1.3373	4.8107	1.7584	5.0723	0.0327	0.0267
70	CCN	53.0560	20.9458	10.7683	2.6833	-7.0171	0.3807	0.4757	5.8088	0.0265	0.0232
71	aC-CN	****	****	17.0956	12.9437	3.4153	5.8218	0.6067	1.2666	0.0239	0.0272
72	CN except as above	79.3428	19.1331	12.5795	4.2788	8.5463	9.8892	1.9219	1.1595	0.0256	0.0161
73	CH2NCO	****	****	****	****	7.8303	10.0004	0.2895	****	0.0334	0.0404
74	CHNCO	****	****	****	****	****	****	****	****	****	****
75	CNCO	****	****	****	****	****	****	****	****	****	****
76	aC-NCO	****	****	****	****	3.4759	2.1596	1.8845	0.2311	0.0248	0.0311
77	CH2NO2	107.8590	29.7120	19.5930	13.1928	8.9684	11.3856	3.1398	0.3261	0.0359	0.0327
78	CHNO2	83.2334	27.1989	17.2398	10.6103	0.9349	6.5029	0.8294	3.0195	0.0289	0.0263
79	CNO2	****	-38.8406	-24.2443	-4.1202	-6.6230	-0.9748	-0.5293	-3.4905	-0.0048	0.0513
80	aC-NO2	105.7265	24.6451	****	****	3.6874	3.2054	1.2032	0.9670	0.0323	0.0278
81	NO2 except as above	117.5232	26.3865	16.5196	7.6247	7.4714	4.4196	2.9346	0.1278	0.0297	0.0177
82	ONO	****	****	****	****	****	****	****	****	****	****
83	ONO2	****	****	****	****	8.0429	7.3747	2.7871	-0.2537	0.0435	0.0280
84	HCON(CH2)2	****	36.1789	****	****	0.8140	6.4490	1.6091	4.2425	****	****
85	HCONHCH2	****	46.5620	****	****	9.6303	8.0004	11.7895	8.8386	****	****
86	CONH2	****	****	****	****	9.0445	9.3434	10.6398	10.8154	0.0427	0.0142
87	CONHCH3	****	48.0983	****	****	7.4303	2.3004	3.4895	7.6437	0.0429	0.0380
88	CONHCH2	****	50.9781	****	****	****	****	****	7.7425	****	****
89	CON(CH3)2	145.5232	38.3620	****	****	9.0320	9.1995	6.8046	2.7913	0.0342	0.0529
90	CONCH3CH2	****	****	****	****	****	****	****	****	****	****
91	CON(CH2)2	****	37.7058	****	****	-6.3092	5.3011	0.8686	4.9464	****	****
92	CONHCO	****	****	****	****	****	****	****	****	****	****
93	CONCO	****	31.1397	****	****	****	****	****	****	****	****
94	aC-CONH2	****	****	****	****	5.6278	9.7276	7.3531	****	0.0453	0.0349
95	aC-NH(CO)H	****	****	****	****	****	****	****	4.1836	0.0436	0.0353
96	aC-N(CO)H	****	****	****	****	****	****	****	****	****	****
97	aC-CONH	****	****	****	****	****	****	****	****	****	****
98	aC-NHCO	80.7510	****	****	****	-3.9694	4.3121	3.8028	1.7478	0.0424	0.0317
99	aC-(N)CO	****	****	****	****	****	****	****	2.1061	****	****
100	NHCONH	****	****	****	****	****	****	****	****	****	****
101	NH2CONH	****	****	****	****	10.9555	5.2566	8.1602	****	****	****
102	NH2CON	****	****	****	****	****	****	****	****	****	****
103	NHCON	****	****	****	****	****	****	****	****	****	****
104	NCON	****	****	****	****	-13.5789	0.2015	2.1581	8.4504	****	****
105	aC-NHCONH2	****	****	****	****	****	****	****	****	****	****
106	aC-NHCONH	****	****	****	****	****	****	****	****	****	****
107	NHCO except as above	****	44.9310	****	****	****	****	****	****	****	****
108	CH2Cl	51.9241	13.1138	8.9579	3.4244	8.8860	4.1421	2.1489	-0.4616	0.0139	0.0317
109	CHCl	32.9439	10.4765	6.2408	0.9302	0.6503	3.0607	-0.5733	-0.2563	0.0077	0.0262
110	CCl	****	7.9858	3.3950	0.6453	-7.1092	1.6011	-6.9931	1.0190	-0.0018	0.0224
111	CHCl2	80.3590	17.7306	11.2353	3.7878	9.2038	3.1389	2.5206	-0.8836	0.0141	0.0449
112	CCl2	****	18.4989	****	****	1.1264	1.5615	-1.4311	0.4183	****	****
113	CCl3	****	18.4766	12.2142	2.7297	9.8110	2.3695	0.1333	-2.4383	0.0129	0.0620
114	CH2F	****	9.2076	8.9293	10.4628	7.2585	3.9074	-1.2477	-1.2343	0.0161	0.0249
115	CHF	****	****	****	****	-0.0364	-0.8934	-0.2549	****	-0.0055	0.0193
116	CF	****	****	****	****	****	****	****	****	****	****
117	CHF2	****	10.0607	****	****	7.2270	7.1946	1.0771	-3.1844	0.0162	0.0345
118	CF2	****	3.9712	2.3811	0.7881	-0.7620	****	****	-0.6044	0.0018	0.0252
119	CF3	****	2.3578	0.8118	-0.4777	7.9050	3.2968	2.0149	-4.0611	0.0262	0.0413
120	CCl2F	****	8.7800	4.8450	-1.4395	6.8167	-0.5158	****	-3.6258	0.0137	0.0564
121	HCClF	****	11.5260	7.0528	2.9386	7.8430	-0.1931	3.8252	-3.1021	0.0128	0.0391
122	CClF2	****	9.7431	6.8539	2.3623	6.6167	1.1432	****	-4.1164	0.0145	0.0546
123	aC-Cl	52.7843	10.9174	6.5214	1.0767	3.6434	1.0768	0.6238	-0.2257	0.0090	0.0230
124	aC-F	****	4.4259	2.7810	1.1239	2.9601	0.8378	0.2767	-0.8265	0.0076	0.0167
125	aC-I	****	****	****	****	3.9278	1.0276	2.2531	-0.0830	0.0073	0.0351
126	aC-Br	66.0553	14.1751	****	****	3.7152	1.7417	1.6744	-0.0212	0.0087	0.0271
127	I- except as above	****	14.5775	9.6749	-3.9047	9.3425	2.6196	3.7401	0.0304	0.0083	0.0247
128	Br- except as above	61.7565	10.1516	6.4258	1.1044	9.0659	3.4215	2.9788	-0.8282	0.0094	0.0213
129	F- except as above	****	-2.5062	-0.2776	-0.2409	7.2762	2.7111	5.1354	-1.9563	0.0082	0.0138
130	Cl- except as above	37.4190	5.6012	4.2620	1.2260	7.9570	3.2931	1.8748	-1.1759	0.0075	0.0187
131	CHNOH	****	****	****	****	8.7303	2.0004	17.9895	****	0.0681	0.0224
132	CNOH	****	****	****	****	0.3614	0.3753	5.0366	****	****	****
133	aC-CHNOH	****	****	****	****	****	****	****	****	****	****
134	OCH2CH2OH	121.3382	31.3924	21.5721	14.9640	8.3416	5.8162	9.9562	1.8292	0.0560	0.0416
135	OCHCH2OH	****	****	****	****	0.1491	0.0056	5.1167	****	0.0710	0.0371
136	OCH2CHOH	****	****	****	****	0.2380	0.2947	4.8512	3.6034	0.0567	0.0394
137	O--OH	15.8659	****	****	****	7.4303	13.0004	27.7895	4.3045	0.0693	0.0103
138	CH2SH	56.8546	16.9958	10.4441	3.0567	8.6097	3.9160	4.2415	-0.3077	0.0135	0.0342
139	CHSH	****	15.1985	8.5222	2.3032	1.1605	2.8007	2.2675	-0.4829	0.0074	0.0293
140	CSH	****	14.4397	7.1115	1.2199	****	****	****	0.4329	0.0005	0.0252
141	aC-SH	****	17.1951	11.1256	4.2780	4.3851	0.7873	4.5741	0.6338	0.0092	0.0258
142	SH- except as above	****	11.7510	8.1071	2.5079	8.6744	2.5656	6.0326	-0.1659	0.0089	0.0188
143	CH3S	48.3732	14.5642	9.5342	2.6917	8.7718	3.8085	3.2506	-1.0766	0.0129	0.0356
144	CH2S	****	15.3044	9.1391	2.8468	0.7614	0.6080	0.1251	0.7398	0.0113	0.0295
145	CHS	****	14.4431	7.4714	3.4418	****	****	****	****	****	0.0690
146	CS	****	14.8261	4.6613	0.0112	****	****	****	****	-0.0009	0.0172
147	aC-S-	****	****	****	****	-3.5419	-2.1720	-1.3574	****	0.0118	0.0317
148	SO	147.0834	****	****	****	1.8357	7.6914	3.7447	9.2912	0.0056	0.0134
149	SO	****	****	****	****	1.8166	8.4926	-0.3325	4.0124	0.0173	0.0228
150	SO3 (sulfite)	****	****	****	****	****	****	****	1.8058	0.0345	0.0309
151	SO3 (Sulfonate)	****	****	****	****	0.8820	2.7995	2.8046	****	-0.0128	0.0552
152	SO4 (Sulfate)	141.0484	****	****	****	1.5623	11.9999	4.1941	3.8421	0.0182	0.0337
153	aC-SO	****	****	****	****	-3.6322	7.6074	-1.0695	****	****	****
154	aC-SO2	****	****	****	****	-3.7817	7.9469	-0.3191	-10.7331	****	****
