Code	Group	Tb_1i	Tc_1i	Pc_1i	Vc_1i	Tm_1i	∆fG⁰_li	∆fH⁰_gas_1i	∆fusH_1i	LogK_ow
1	(CH3)2CH	0.0071	-0.0371	-0.0011	1.6549	0.0426	-0.3787	-1.1487	0.4162	0.1169
2	(CH3)3C	0.0121	-0.3488	-0.0018	2.6288	-0.1436	-2.5834	-2.0431	0.2015	0.0573
3	CH(CH3)CH(CH3)	0.1667	1.8262	-0.0014	-4.1443	0.1640	7.0411	7.6476	-0.5399	0.0193
4	CH(CH3)C(CH3)2	0.1860	2.5891	-0.0043	-12.4216	0.0360	10.2099	10.0303	-0.4008	-0.1396
5	C(CH3)2C(CH3)2	0.1902	4.6557	-0.0078	-15.3623	0.9639	14.9779	13.6687	1.5179	****
6	CHn=CHm-CHp=CH k (k,m,n,p in 0..2)	0.0993	0.5149	-0.0012	-7.5646	0.1319	-6.4113	-9.7132	1.5712	0.0589
7	CH3-CHm=CHn (m,n in 0..2)	0.0111	0.0894	-0.0011	-0.7379	0.0912	0.0097	0.1673	0.3153	0.0699
8	CH2-CHm=CHn (m,n in 0..2)	-0.0638	-0.2233	0.0001	0.8980	-0.1366	1.1234	1.4571	-0.9211	-0.0077
9	CHp-CHm=CHn (m,n in 0..2; p in 0..1)	0.0010	-0.3343	0.0005	-1.6360	-0.1366	3.6828	4.3852	-0.7948	-0.3100
10	CHCHO orCCHO	-0.1363	-2.1746	0.0057	16.5756	0.5854	-1.6156	-0.0237	-3.2688	0.0226
11	CH3COCH2	0.0273	-0.0379	0.0010	-2.1274	-0.0205	-0.2548	0.1734	-0.0582	-0.3209
12	CH3COCH orCH3COC	-0.1662	-0.6461	0.0001	1.0096	-0.3207	3.3807	5.5072	2.1448	-0.1530
13	CHCOOH orCCOOH	-0.0941	-8.7373	0.0014	10.9060	-0.8078	11.2996	-0.4848	-6.1196	0.2210
14	CH3COOCH orCH3COOC	-0.1159	-1.5900	0.0056	4.5375	0.1575	-12.3700	-11.7755	1.6166	0.1958
15	CO-O-CO	0.0869	-1.4141	0.0013	-3.3717	-1.3814	-16.1261	-13.8299	-2.3176	-0.3138
16	CHOH	-0.1193	-1.5693	0.0014	-0.8847	-0.0049	-6.0710	-5.1266	-0.1504	-0.0449
17	COH	-0.2772	-4.7485	0.0052	12.5837	0.4864	-21.4072	-23.7946	-1.4402	-0.3586
18	CH3COCHnOH (n in 0..2)	0.0251	-1.2286	-0.0040	3.6856	-0.0909	8.1195	7.3923	****	****
19	NCCHOH orNCCOH	0.3953	0.9065	-0.0021	1.0200	-0.6797	4.8141	11.4510	-0.1134	-0.6779
20	OH-CHn-COO (n in 0..2)	-0.1171	****	****	****	-0.9076	****	****	****	-0.1516
21	CHm (OH)CHn (OH) (m,n in 0..2)	0.1944	1.9395	-0.0014	9.3264	-0.2099	-0.8835	-1.7496	0.5414	-0.1041
22	CHm (OH)CHn (NHp) (m,n,p in 0..2)	0.3136	4.4706	-0.0008	6.7464	-0.1908	-4.9553	-5.1348	0.6844	-0.0975
23	CHm (NH2)CHn (NH2) (m,n in 0..2)	0.2516	0.3128	0.0001	12.1507	0.3678	0.2413	-3.2743	0.3708	0.4023
24	CHm (NH)CHn (NH2) (m,n in 1..2)	0.1662	4.2200	0.0012	****	****	3.6468	3.9960	-5.7405	0.1997
25	H2NCOCHnCHmCONH2 (m,n in 1..2)	-0.0558	****	****	****	****	****	****	****	-0.1419
26	CHm (NHn)-COOH (m,n in 0..2)	-0.0614	****	-0.0045	12.2472	1.3964	3.1153	9.6367	8.2846	-0.6678
27	HOOC-CHn-COOH (n in 1..2)	-0.0771	19.1961	-0.0021	9.7485	0.2553	-5.2337	-2.2874	4.8008	0.3463
28	HOOC-CHn-CHm-COOH (n, m in 1..2)	-0.0345	16.2093	0.0018	12.1533	1.1390	-4.3566	-3.1470	29.7631	0.1769
29	HO-CHn-COOH (n in 1..2)	-0.1538	****	****	****	-0.6687	****	****	****	0.1288
30	NH2-CHn-CHm-COOH (n, m in 1..2)	-0.1656	****	****	****	-9.5780	****	****	****	-1.4198
31	CH3-O-CHn-COOH (n in 1..2)	-0.2100	5.1074	-0.0010	7.3876	-1.9485	-1.4197	****	-4.8210	-0.0132
32	HS-CH-COOH	-0.3486	****	****	****	-1.0728	****	****	****	0.1179
