Code	Group	Fp_1i	∆vapH⁰_1i	∆vapH_1i	∆vapS_1i	δD_1i	δP_1i	δH_1i	δ_1i	ω_1i	Vm_1i
1	(CH3)2CH	0.1812	-0.2279	-0.1291	-0.0104	-0.0405	-0.1162	-0.1884	-0.2217	-0.0012	0.0009
2	(CH3)3C	-3.5999	-0.1046	0.0078	0.0949	0.0266	0.3615	2.3617	-0.0107	-0.0007	0.0012
3	CH(CH3)CH(CH3)	3.5328	0.8647	1.0810	0.4274	0.2901	-0.5640	-0.0999	0.4609	0.0001	-0.0021
4	CH(CH3)C(CH3)2	11.2193	1.4835	1.2189	-0.5534	****	****	****	1.0003	-0.0016	-0.0042
5	C(CH3)2C(CH3)2	19.4129	6.3236	****	****	****	****	****	0.9140	-0.0004	-0.0093
6	CHn=CHm-CHp=CH k (k,m,n,p in 0..2)	-9.6697	0.8982	-0.2955	-1.1342	0.0869	-0.5470	-1.5359	0.3985	-0.0005	-0.0036
7	CH3-CHm=CHn (m,n in 0..2)	-0.4364	0.6272	0.2071	-0.0106	-0.1801	0.0160	-1.0401	-0.1009	-0.0002	0.0003
8	CH2-CHm=CHn (m,n in 0..2)	-1.6427	-0.0748	0.4031	0.8757	-0.0058	-0.1026	-0.5197	-0.0627	0.0011	-0.0002
9	CHp-CHm=CHn (m,n in 0..2; p in 0..1)	-6.3473	-0.7558	****	****	-0.1039	1.8371	-0.7440	-0.2999	-0.0034	0.0002
10	CHCHO orCCHO	-2.9540	****	****	****	-0.3273	-2.4933	0.8469	-1.2849	0.0031	0.0016
11	CH3COCH2	-4.0400	0.1817	-0.3363	-1.1376	-0.0112	-0.7768	-0.3451	-0.4525	-0.0021	0.0002
12	CH3COCH orCH3COC	****	1.8337	1.2869	1.8832	-0.2668	-1.5909	-0.5600	-0.0795	0.0008	0.0002
13	CHCOOH orCCOOH	8.4830	5.1503	****	****	0.1079	1.2931	2.4286	0.9532	-0.0031	0.0007
14	CH3COOCH orCH3COOC	-24.9284	-1.4900	-1.8607	-1.6599	0.0031	-0.2070	0.1687	-0.2503	-0.0024	0.0030
15	CO-O-CO	5.2878	****	0.2536	0.6467	-0.0963	2.3260	1.4428	0.3818	0.0035	0.0013
16	CHOH	1.0254	1.2650	-1.5532	-0.9922	0.0592	0.3413	0.6216	-0.0472	0.0016	-0.0004
17	COH	-8.6809	0.0799	-1.6892	1.4724	-0.0243	-0.7348	-0.8848	-0.1263	0.0055	0.0015
18	CH3COCHnOH (n in 0..2)	****	****	****	****	****	****	****	1.9343	0.0160	-0.0025
19	NCCHOH orNCCOH	0.0000	****	****	****	0.4540	2.8602	-1.1972	1.2624	0.0056	0.0005
