Code	Group	Tb_1i	Tc_1i	Pc_1i	Vc_1i	Tm_1i	∆fG⁰_li	∆fH⁰_gas_1i	∆fusH_1i	LogK_ow
1	HOOC-(CHn)m-COOH (m>2, n in 0..2)	****	13.4712	0.0058	-7.3702	-0.2366	-0.0003	-2.7661	0.0000	-0.1839
2	NHn-(CHn)m-COOH (m>2, n in 0..2)	****	****	****	****	****	****	****	****	-2.3057
3	NH2-(CHn)m-OH (m>2, n in 0..2)	****	5.5882	0.0017	-27.799	0.3475	0.0003	3.5589	0.0000	0.0054
4	OH-(CHn)m-OH (m>2, n in 0..2)	****	4.1384	-0.0006	-6.6795	-0.3779	0.0012	8.0978	0.0000	-0.9089
5	OH-(CHp) k-O-(CHn)m-OH (m,k>0; p,n in 0..2)	****	****	****	****	****	****	****	****	****
6	OH-(CHp) k-S-(CHn)m-OH (m,k>0; p,n in 0..2)	****	****	****	****	****	****	****	****	****
7	OH-(CHp) k- NHx-(CHn)m-OH (m,k>0; p,n,x in 0..2)	****	****	****	****	****	****	****	****	****
8	CHp-O-(CHn)m-OH (m>2; n,p in 0..2)	****	****	****	****	****	****	****	****	****
9	NH2-(CHn)m-NH2 (m>2; n in 0..2))	0.0828	-1.8632	0.0135	-3.2307	0.2640	0.0003	0.7554	0.0000	0.7245
10	NHk-(CHn)m-NH2 (m>2; k in 0..1; n in 0..2)	****	****	****	****	****	****	****	****	****
11	SH-(CHn)m- SH (m>2; n in 0..2)	0.2655	****	****	****	-0.6280	****	****	****	****
12	NC-(CHn)m-CN (m>2)	****	16.6171	0.0258	-6.0023	-0.1286	-0.0011	-5.7303	0.0000	-0.7193
13	COO-(CHn)m-OOC (m>2; n in 0..2)	****	****	****	****	****	****	****	****	****
14	aC-(CHn =CHm)cyc (fused rings) (n,m in 0..1)	-0.0591	-9.2419	0.0035	-4.1679	0.0719	0.0003	2.0734	0.0000	-0.0329
15	aC-aC (different rings)	0.0273	-2.3599	-0.0133	29.6558	0.0027	-0.0011	-5.1052	0.0000	0.1424
16	aC-CHncyc (different rings) (n in 0..1)	-0.2130	-2.7789	0.0040	****	-0.2033	-0.0006	-4.6934	0.0000	0.0042
17	aC-CHncyc (fused rings) (n in 0..1)	-0.0111	-6.1429	-0.0016	-9.1117	-0.2179	-0.0002	8.0750	0.0000	-0.1070
18	aC-(CHn)m-aC (different rings) (m>1; n in 0..2)	0.4130	11.8299	0.0010	-5.3635	-0.0860	-0.0011	2.1441	12.0237	0.3816
19	aC-(CHn)m-CHcyc (different rings) (m>0; n in 0..2)	-0.3323	****	****	****	-1.1281	****	****	****	-0.0805
20	CHcyc-CHcyc (different rings)	-0.0023	6.2025	0.0035	****	0.7559	****	****	****	0.4252
21	CHcyc-(CHn)m-CHcyc (different rings) (m>0; n in 0..2)	****	****	****	****	****	****	****	****	****
22	CHmultiring	0.1371	1.9976	-0.0033	0.7655	0.2166	-0.0005	-2.9489	0.0000	-0.0419
23	Cmultiring	0.0331	****	****	****	0.0943	****	****	0.0001	-0.0291
24	aC-CHm-aC (different rings) (m in 0..2)	-0.0343	0.6827	0.0041	-18.346	-0.1199	0.0002	1.4001	0.0000	-0.1034
25	aC-(CHm =CHn)-aC (different rings) (m,n in 0..2)	0.2534	1.8492	0.0025	6.2226	0.8378	-0.4310	-1.3758	3.5569	0.1833
26	(CHm =C)cyc-CH=CH-(C=CHn)cyc (different rings)	****	****	****	****	****	****	****	****	****
27	(CHm =C)cyc-CHp-(C=CHn)cyc (different rings)	****	****	****	****	****	****	****	****	0.6657
28	aC-CO-aC (different rings)	0.0214	0.5272	****	-13.931	-0.2827	0.0085	13.2669	0.0000	0.1164
29	aC-CHm-CO-aC (different rings) (m in 0..2)	0.0214	****	****	****	0.0114	****	****	****	0.2238
30	aC-CO-(C=CHn)cyc (different rings) (n in 0..1)	-0.1736	****	****	****	-0.1165	****	****	****	0.2473
31	aC-CO-CO-aC (different rings)	****	****	****	****	2.4653	****	****	0.0000	0.8518
32	aC-COcyc (fused rings)	0.1142	****	****	****	0.3217	****	32.3581	0.7983	0.0030
33	aC-CO-(CHn)m-CO-aC (different rings) (m>0; n in 0..2)	****	****	****	****	-0.9900	****	0.1534	****	****
34	aC-CO-CHncyc (different rings) (n in 0..1)	0.1959	****	****	****	-3.8388	****	****	****	0.6778
35	aC-CO-NHn-aC (different rings) (n in 0..1)	****	****	****	****	0.4986	****	****	0.0000	0.4732
