Code	Group	Fp_1i	∆vapH⁰_1i	∆vapH_1i	∆vapS_1i	δD_1i	δP_1i	δH_1i	δ_1i	ω_1i	Vm_1i
1	HOOC-(CHn)m-COOH (m>2, n in 0..2)	-11.380	****	****	****	0.1718	2.5721	0.2768	-1.1485	-0.0007	-0.0100
2	NHn-(CHn)m-COOH (m>2, n in 0..2)	****	****	****	****	****	****	****	****	****	****
3	NH2-(CHn)m-OH (m>2, n in 0..2)	****	****	****	****	****	****	****	5.5639	0.0114	-0.0048
4	OH-(CHn)m-OH (m>2, n in 0..2)	27.4803	1.3166	1.5613	-6.2002	0.3289	2.8092	-2.4542	1.9110	0.0025	-0.0019
5	OH-(CHp) k-O-(CHn)m-OH (m,k>0; p,n in 0..2)	****	****	****	****	****	****	****	****	****	****
6	OH-(CHp) k-S-(CHn)m-OH (m,k>0; p,n in 0..2)	****	****	****	****	****	****	****	****	****	****
7	OH-(CHp) k- NHx-(CHn)m-OH (m,k>0; p,n,x in 0..2)	****	****	****	****	****	****	****	****	****	****
8	CHp-O-(CHn)m-OH (m>2; n,p in 0..2)	****	****	****	****	****	****	****	****	****	****
9	NH2-(CHn)m-NH2 (m>2; n in 0..2))	****	3.1010	1.8926	1.8838	****	****	****	-0.4780	-0.0019	0.0175
10	NHk-(CHn)m-NH2 (m>2; k in 0..1; n in 0..2)	****	****	****	****	****	****	****	****	****	****
11	SH-(CHn)m- SH (m>2; n in 0..2)	****	1.5576	****	****	****	****	****	****	****	****
12	NC-(CHn)m-CN (m>2)	-2.3623	****	****	****	****	****	****	-1.8323	0.0006	0.0014
13	COO-(CHn)m-OOC (m>2; n in 0..2)	****	****	****	****	****	****	****	****	****	****
14	aC-(CHn =CHm)cyc (fused rings) (n,m in 0..1)	****	****	****	****	0.1715	0.7317	0.9507	0.5569	0.0011	-0.0028
15	aC-aC (different rings)	-2.9197	****	****	****	1.4629	1.4222	-1.0851	0.4809	0.0004	0.0020
16	aC-CHncyc (different rings) (n in 0..1)	****	0.0000	****	****	0.5718	0.1114	-3.5861	0.5787	-0.0010	-0.0001
